norm_title,description,genres,audience_group
queen and the conqueror,"Years after Spanish conquistador Pedro de Heredia betrayed her people and broke her heart, indigenous woman Catalina reenters his life to get revenge.",['drama'],teen
what are the odds,"When two unlikely friends play hooky from school, accidental encounters and otherworldly events turn their day into a whimsical coming-of-age journey.","['comedy', 'drama']",adult
either me or my auntie,"A musician's marriage proposal to his girlfriend is denied by her mother, whose affinity for magic begins to meddle in their relationship even more.",['comedy'],child
escaping tel aviv,"After her husband reveals he's an undercover Mossad agent, an Egyptian woman and their children are taken to Israel, prompting an urgent rescue mission.",['action'],teen
game over,A woman ends up working at the same nightclub as her son’s girlfriend — who she doesn’t like — and tries to break up their relationship.,"['comedy', 'romance']",teen
karkar,"After electrocution leaves a wealthy man brain-damaged, his money-hungry aunt and uncle try to con him by marrying him off to a fake relative.",['comedy'],teen
my sleeping lover,"After undergoing hypnosis, Ramez finally meets the woman of his dreams — but his vision of her appearance doesn't quite match up with reality.",['comedy'],child
omar salma 2,"Now parents, Omar and Salma hit some obstacles while raising their two children and staying in love after the honeymoon ends.",['comedy'],teen
patton oswalt i love everything,Turning 50. Finding love again. Buying a house. Experiencing existential dread at Denny's. Life comes at Patton Oswalt fast in this stand-up special.,['comedy'],adult
sweet magnolias,"Lifelong friends Maddie, Helen and Dana Sue lift each other up as they juggle relationships, family and careers in the small, Southern town of Serenity.","['drama', 'romance']",teen
tareks situation,"Asked by his boss to share a woman's personal information, a mobile phone sales rep falls in love with the target whose data he's stealing.","['comedy', 'romance']",teen
beach loafer,"A wedding singer and his friends try to prove his innocence after he's accused of murder, a situation threatening his own marriage plans.",['comedy'],teen
wadjda,A persistent 10-year-old wishes for a new bicycle so she can beat her friend (a boy) in a race. But it's going to take some ingenuity to get one.,['drama'],child
zaki chan,An unqualified young man has his work cut out for him when he is hired as a rich girl’s bodyguard to keep her from the boyfriend her dad disapproves of.,"['comedy', 'romance']",child
light in the dark,A terrifying home invasion shatters a couple's happy family life and brings their marriage to the brink as painful fallout unfolds.,['drama'],teen
patriot act with hasan minhaj,"Every Sunday, Hasan Minhaj brings an incisive and nuanced perspective to global news, politics and culture in his unique comedy series.",['comedy'],adult
end,"A wrongly accused man is pursued by a dogged investigator in this action-comedy featuring car chases, dark humor and more than a few vampires.","['action', 'comedy']",adult
boys over flowers,Unassuming high school girl Jan-di stands up to – and eventually falls for – a spoiled rich kid who belongs to the school's most powerful clique.,['romance'],teen
iris,Two friends' lives are changed forever when they are recruited by a top-secret organization tasked with protecting the country from foreign threats.,['action'],teen
avatar the last airbender,"Siblings Katara and Sokka wake young Aang from a long hibernation and learn he's an Avatar, whose air-bending powers can defeat the evil Fire Nation.",['action'],child
heaven without people,"From long resentments to deep secrets, an overdue family reunion erupts with drama when the matriarch makes a disturbing discovery.",['drama'],adult
i love you stupid,"After Marcos is dumped by his girlfriend, he attempts to reinvent himself as a modern man with the help of a childhood friend and an online guru.","['comedy', 'romance']",adult
inhuman resources,"Alain Delambre, unemployed and 57, is lured by an attractive job opening. But things get ugly when he realizes he’s a pawn in a cruel corporate game.",['drama'],adult
madam secretary,"When a highly capable woman becomes secretary of state, she struggles to find balance between the demands of world politics and those of her family.",['drama'],child
magic for humans,"From baffling people on the street to orchestrating elaborate tricks, Justin Willman blends good-natured magic with grown-up laughs.",['comedy'],teen
parasyte the maxim,"A teenager battles an onslaught of parasites from space with help from Migi, a docile parasitic creature that's taken over his right hand.",['horror'],adult
shera and the princesses of power,"Soldier Adora finds a magic sword – and her identity as legendary hero She-Ra. She joins the Rebellion, but her best friend stays with the evil Horde.","['action', 'sci-fi']",child
sleepless society two pillows a lost soul,A motivational speaker about to divorce her abusive husband wakes up from a wild party one morning to find a dead body.,['drama'],adult
strangers from hell,Unpleasant events disturb the life of an aspiring crime fiction writer when he becomes a resident of an apartment building teeming with shady neighbors.,['horror'],adult
dilan 1990,"At a Bandung high school, charming and rebellious Dilan vies for the affections of shy new student Milea.","['drama', 'romance']",teen
dilan 1991,"Dilan's involvement in the motorbike gang imperils his relationship with Milea, whose distant relative returns from Belgium.","['drama', 'romance']",teen
fan of amoory,"Inspired by his idol Omar Abdulrahman, a young boy navigates obstacles as he chases his dream of becoming a professional soccer player.",['drama'],child
malang,"Years after a police encounter separates him from his lover, an angry young man goes on a killing spree, with an equally vengeful cop on his heels.","['action', 'romance']",adult
